id,lat,lon,stratum,bbox_min_lat,bbox_max_lat,bbox_min_lon,bbox_max_lon
63,35.859349,139.837893,dense_urban,35.858199,35.860498,139.836474,139.839311
64,29.469022,47.848518,dense_urban,29.467872,29.470171,47.847198,47.849839
65,22.545907,88.224584,dense_urban,22.544757,22.547057,88.223339,88.225829
66,24.923921,46.680185,dense_urban,24.922771,24.92507,46.678917,46.681453
67,-37.934249,145.031204,dense_urban,-37.935399,-37.933099,145.029746,145.032662
68,4.575551,-74.282461,dense_urban,4.574401,4.576701,-74.283614,-74.281307
69,5.59858,-0.372826,dense_urban,5.59743,5.59973,-0.373981,-0.37167
70,50.155064,8.432008,dense_urban,50.153914,50.156214,8.430214,8.433803
71,33.797039,-111.973298,dense_urban,33.79589,33.798189,-111.974682,-111.971915
72,13.157419,77.472518,dense_urban,13.156269,13.158569,77.471337,77.473698
73,33.80624,-84.669447,dense_urban,33.80509,33.80739,-84.670831,-84.668063
74,39.87589,116.280298,dense_urban,39.87474,39.87704,116.278799,116.281796
75,-33.314955,-70.685411,dense_urban,-33.316105,-33.313805,-70.686787,-70.684035
76,25.278096,51.677035,dense_urban,25.276946,25.279246,51.675763,51.678306
77,31.412033,74.45726,dense_urban,31.410883,31.413183,74.455913,74.458607
78,-27.57779,153.119341,dense_urban,-27.578939,-27.57664,153.118044,153.120638
79,30.160198,31.005919,dense_urban,30.159048,30.161348,31.004589,31.007249
80,25.508026,-80.388518,dense_urban,25.506876,25.509176,-80.389792,-80.387244
81,50.086506,19.868844,dense_urban,50.085356,50.087656,19.867052,19.870636
82,-33.97446,151.046507,dense_urban,-33.97561,-33.973311,151.045121,151.047894
83,35.63897,139.470969,dense_urban,35.637821,35.64012,139.469554,139.472384
84,29.993176,31.235029,dense_urban,29.992027,29.994326,31.233702,31.236357
85,41.418679,2.12609,dense_urban,41.417529,41.419829,2.124556,2.127623
86,29.751388,106.315792,dense_urban,29.750238,29.752538,106.314468,106.317116
87,24.663246,46.647804,dense_urban,24.662096,24.664396,46.646539,46.64907
88,6.548813,3.251975,dense_urban,6.547663,6.549963,3.250818,3.253132
89,13.53326,100.858305,dense_urban,13.53211,13.534409,100.857122,100.859488
90,51.547922,0.118823,dense_urban,51.546772,51.549071,0.116973,0.120672
91,19.099867,72.768048,dense_urban,19.098717,19.101017,72.766831,72.769264
92,25.011055,55.177219,dense_urban,25.009905,25.012205,55.17595,55.178488
93,53.329472,-2.183851,dense_urban,53.328322,53.330622,-2.185777,-2.181926
94,50.126158,8.473843,dense_urban,50.125008,50.127308,8.47205,8.475637
95,4.509761,-74.008966,dense_urban,4.508611,4.510911,-74.010119,-74.007812
96,33.570345,-112.108801,dense_urban,33.569195,33.571495,-112.110181,-112.107421
97,19.170183,72.846968,dense_urban,19.169033,19.171333,72.845751,72.848185
98,49.936503,20.157071,dense_urban,49.935353,49.937653,20.155284,20.158857
99,29.242928,48.011145,dense_urban,29.241778,29.244078,48.009827,48.012463
100,14.689883,121.093401,dense_urban,14.688734,14.691033,121.092212,121.094589
101,43.548829,-79.636661,dense_urban,43.547679,43.549979,-79.638248,-79.635075
102,51.338621,0.228863,dense_urban,51.337471,51.33977,0.227022,0.230704
103,45.655002,-73.413333,dense_urban,45.653852,45.656152,-73.414978,-73.411688
104,22.675184,88.582367,dense_urban,22.674035,22.676334,88.581121,88.583613
105,35.274401,129.127878,dense_urban,35.273251,35.275551,129.126469,129.129286
106,39.962209,33.058801,dense_urban,39.961059,39.963359,33.057301,33.060302
107,50.032648,8.750043,dense_urban,50.031499,50.033798,8.748253,8.751833
108,37.685355,126.899196,dense_urban,37.684205,37.686505,126.897743,126.900649
109,17.233863,78.567004,dense_urban,17.232713,17.235013,78.565801,78.568208
110,4.729617,-74.139697,dense_urban,4.728467,4.730766,-74.14085,-74.138543
111,40.101089,-74.987628,dense_urban,40.099939,40.102239,-74.989131,-74.986125
112,51.30462,6.913751,dense_urban,51.30347,51.30577,6.911912,6.91559
113,-22.835837,-43.090677,dense_urban,-22.836987,-22.834687,-43.091924,-43.089429
114,29.379257,106.765813,dense_urban,29.378107,29.380407,106.764493,106.767132
115,52.309317,21.147799,dense_urban,52.308167,52.310467,21.145918,21.14968
116,-12.189362,-76.972841,dense_urban,-12.190512,-12.188213,-76.974017,-76.971665
